"","workerid","trial_type","modifier2","noun","modifier1","stimulus","train","modifier","response","condition","expected_response","correct","post_nominal"
"107",1,"adj",NA,"cow",NA,"wooden cow",TRUE,"wooden","cow wooden",1,"cow wooden",TRUE,TRUE
"108",1,"adj",NA,"horse",NA,"spotted horse",TRUE,"spotted","horse spotted",1,"horse spotted",TRUE,TRUE
"109",1,"num",NA,"pigs",NA,"seven pigs",TRUE,"seven","pigs seven",1,"pigs seven",TRUE,TRUE
"110",1,"num",NA,"trays",NA,"four trays",TRUE,"four","trays four",1,"trays four",TRUE,TRUE
"111",1,"num",NA,"keys","ten","ten keys",FALSE,NA,"ten keys",1,"keys ten",FALSE,FALSE
"112",1,"num",NA,"pineapples","two","two pineapples",FALSE,NA,"pineapples two",1,"pineapples two",TRUE,TRUE
"113",1,"adj",NA,"ribbon","furry","furry ribbon",FALSE,NA,"furry ribbon",1,"ribbon furry",FALSE,FALSE
"114",1,"adj_num","seven","shirts","spotted","seven spotted shirts",FALSE,NA,"spotted seven shirts",1,"shirts spotted seven",FALSE,FALSE
"115",1,"adj_num","three","cars","orange","three orange cars",FALSE,NA,"three orange cars",1,"cars orange three",FALSE,FALSE
"116",1,"adj_num","one","ribbon","dirty","one dirty ribbon",FALSE,NA,"dirty one ribbon",1,"ribbon dirty one",FALSE,FALSE
"117",1,"adj_num","five","keys","wooden","five wooden keys",FALSE,NA,"five wooden keys",1,"keys wooden five",FALSE,FALSE
"118",1,"adj_num","five","leaves","green","five green leaves",FALSE,NA,"green five leaves",1,"leaves green five",FALSE,FALSE
"119",1,"adj_num","one","pig","wooden","one wooden pig",FALSE,NA,"pig one wooden",1,"pig wooden one",FALSE,TRUE
"120",1,"adj_num","two","pitchers","dirty","two dirty pitchers",FALSE,NA,"pitchers dirty two",1,"pitchers dirty two",TRUE,TRUE
"121",1,"adj_num","six","trays","orange","six orange trays",FALSE,NA,"trays six orange",1,"trays orange six",FALSE,TRUE
"122",1,"adj_num","eight","ducks","dirty","eight dirty ducks",FALSE,NA,"ducks dirty eight",1,"ducks dirty eight",TRUE,TRUE
"123",1,"num",NA,"trays","six","six trays",FALSE,NA,"trays six",1,"trays six",TRUE,TRUE
"124",1,"adj",NA,"pillow","dirty","dirty pillow",FALSE,NA,"dirty pillow",1,"pillow dirty",FALSE,FALSE
"125",1,"adj",NA,"spatula","wooden","wooden spatula",FALSE,NA,"spatula wooden",1,"spatula wooden",TRUE,TRUE
"126",1,"num",NA,"handbags","four","four handbags",FALSE,NA,"handbags four",1,"handbags four",TRUE,TRUE
"127",1,"adj_num","four","couches","wooden","four wooden couches",FALSE,NA,"wooden four couches",1,"couches wooden four",FALSE,FALSE
"128",1,"adj_num","six","handbags","furry","six furry handbags",FALSE,NA,"handbags furry six",1,"handbags furry six",TRUE,TRUE
"129",1,"adj_num","one","cow","wooden","one wooden cow",FALSE,NA,"one wooden cow",1,"cow wooden one",FALSE,FALSE
"130",1,"adj_num","one","spatula","orange","one orange spatula",FALSE,NA,"spatula orange one",1,"spatula orange one",TRUE,TRUE
"131",1,"adj_num","three","bananas","wooden","three wooden bananas",FALSE,NA,"bananas three wooden",1,"bananas wooden three",FALSE,TRUE
"132",1,"num",NA,"shoes","seven","seven shoes",FALSE,NA,"seven shoes",1,"shoes seven",FALSE,FALSE
"133",1,"adj",NA,"suitcase","spotted","spotted suitcase",FALSE,NA,"suitcase spotted",1,"suitcase spotted",TRUE,TRUE
"134",1,"adj_num","one","chair","furry","one furry chair",FALSE,NA,"one furry chair",1,"chair furry one",FALSE,FALSE
"135",1,"adj_num","three","vases","dirty","three dirty vases",FALSE,NA,"three dirty vases",1,"vases dirty three",FALSE,FALSE
"136",1,"num",NA,"scarfs","three","three scarfs",FALSE,NA,"scarfs three",1,"scarfs three",TRUE,TRUE
"137",1,"adj",NA,"cow","spotted","spotted cow",FALSE,NA,"cow spotted",1,"cow spotted",TRUE,TRUE
"138",1,"adj",NA,"lamp","blue","blue lamp",FALSE,NA,"lamp blue",1,"lamp blue",TRUE,TRUE
"139",1,"adj_num","seven","lamps","purple","seven purple lamps",FALSE,NA,"seven purple lamps",1,"lamps purple seven",FALSE,FALSE
"140",1,"adj_num","ten","hats","green","ten green hats",FALSE,NA,"hats ten green",1,"hats green ten",FALSE,TRUE
"141",1,"adj",NA,"couch","blue","blue couch",FALSE,NA,"blue couch",1,"couch blue",FALSE,FALSE
"142",1,"adj_num","seven","bowls","striped","seven striped bowls",FALSE,NA,"seven striped bowls",1,"bowls striped seven",FALSE,FALSE
"143",1,"num",NA,"pears","seven","seven pears",FALSE,NA,"pears seven",1,"pears seven",TRUE,TRUE
"144",1,"adj_num","four","scarfs","spotted","four spotted scarfs",FALSE,NA,"spotted four scarfs",1,"scarfs spotted four",FALSE,FALSE
"145",1,"adj_num","four","pears","dirty","four dirty pears",FALSE,NA,"dirty four pears",1,"pears dirty four",FALSE,FALSE
"146",1,"num",NA,"spatulas","nine","nine spatulas",FALSE,NA,"spatulas nine",1,"spatulas nine",TRUE,TRUE
"147",1,"adj_num","two","boxes","spotted","two spotted boxes",FALSE,NA,"boxes two spotted",1,"boxes spotted two",FALSE,TRUE
"148",1,"adj_num","ten","darts","furry","ten furry darts",FALSE,NA,"darts ten furry",1,"darts furry ten",FALSE,TRUE
"149",1,"adj",NA,"pig","stone","stone pig",FALSE,NA,"stone pig",1,"pig stone",FALSE,FALSE
"150",1,"num",NA,"pigs","four","four pigs",FALSE,NA,"pigs four",1,"pigs four",TRUE,TRUE
"151",1,"adj_num","six","pillows","furry","six furry pillows",FALSE,NA,"pillows furry six",1,"pillows furry six",TRUE,TRUE
"152",1,"adj",NA,"hat","wooden","wooden hat",FALSE,NA,"wooden hat",1,"hat wooden",FALSE,FALSE
"153",1,"adj_num","four","horses","striped","four striped horses",FALSE,NA,"four striped horses",1,"horses striped four",FALSE,FALSE
"154",1,"adj_num","three","suitcases","spotted","three spotted suitcases",FALSE,NA,"three spotted suitcases",1,"suitcases spotted three",FALSE,FALSE
"155",1,"adj",NA,"pineapple","spotted","spotted pineapple",FALSE,NA,"pineapple spotted",1,"pineapple spotted",TRUE,TRUE
"156",1,"adj_num","eight","shoes","orange","eight orange shoes",FALSE,NA,"eight orange shoes",1,"shoes orange eight",FALSE,FALSE
"157",1,"adj_num","seven","shovels","green","seven green shovels",FALSE,NA,"seven green shovels",1,"shovels green seven",FALSE,FALSE
"158",1,"num",NA,"ribbons","three","three ribbons",FALSE,NA,"ribbons three",1,"ribbons three",TRUE,TRUE
"159",1,"adj_num","three","cherries","green","three green cherries",FALSE,NA,"cherries three green",1,"cherries green three",FALSE,TRUE
"160",1,"adj_num","six","pineapples","dirty","six dirty pineapples",FALSE,NA,"pineapples six dirty",1,"pineapples dirty six",FALSE,TRUE
"161",2,"num",NA,"cars",NA,"nine cars",TRUE,"nine","cars nine",1,"cars nine",TRUE,TRUE
"162",2,"num",NA,"hats",NA,"two hats",TRUE,"two","hats two",1,"hats two",TRUE,TRUE
"163",2,"adj",NA,"hat",NA,"purple hat",TRUE,"purple","hat purple",1,"hat purple",TRUE,TRUE
"164",2,"adj",NA,"banana",NA,"stone banana",TRUE,"stone","banana stone",1,"banana stone",TRUE,TRUE
"165",2,"adj",NA,"bowl",NA,"stone bowl",TRUE,"stone","bowl stone",1,"bowl stone",TRUE,TRUE
"166",2,"num",NA,"darts",NA,"four darts",TRUE,"four","darts four",1,"darts four",TRUE,TRUE
"167",2,"adj",NA,"box",NA,"blue box",TRUE,"blue","box blue",1,"box blue",TRUE,TRUE
"168",2,"adj",NA,"key",NA,"striped key",TRUE,"striped","key striped",1,"key striped",TRUE,TRUE
"169",2,"num",NA,"pineapple",NA,"one pineapple",TRUE,"one","pineapple one",1,"pineapple one",TRUE,TRUE
"170",2,"adj",NA,"pig",NA,"wooden pig",TRUE,"wooden","pig wooden",1,"pig wooden",TRUE,TRUE
"171",2,"adj",NA,"shoe",NA,"orange shoe",TRUE,"orange","shoe orange",1,"shoe orange",TRUE,TRUE
"172",2,"adj",NA,"duck",NA,"orange duck",TRUE,"orange","duck orange",1,"duck orange",TRUE,TRUE
"173",2,"num",NA,"vases",NA,"six vases",TRUE,"six","vases six",1,"vases six",TRUE,TRUE
"174",2,"adj",NA,"shovel",NA,"stone shovel",TRUE,"stone","shovel stone",1,"shovel stone",TRUE,TRUE
"175",2,"num",NA,"cherries",NA,"five cherries",TRUE,"five","cherries five",1,"cherries five",TRUE,TRUE
"176",2,"num",NA,"leaves",NA,"eight leaves",TRUE,"eight","leaves eight",1,"leaves eight",TRUE,TRUE
"177",2,"num",NA,"couches",NA,"three couches",TRUE,"three","couches three",1,"couches three",TRUE,TRUE
"178",2,"num",NA,"spatulas",NA,"nine spatulas",TRUE,"nine","spatulas nine",1,"spatulas nine",TRUE,TRUE
"179",2,"adj",NA,"shirt",NA,"purple shirt",TRUE,"purple","shirt purple",1,"shirt purple",TRUE,TRUE
"180",2,"adj",NA,"tray",NA,"striped tray",TRUE,"striped","tray striped",1,"tray striped",TRUE,TRUE
"181",2,"adj",NA,"handbag",NA,"blue handbag",TRUE,"blue","handbag blue",1,"handbag blue",TRUE,TRUE
"182",2,"adj",NA,"ribbon",NA,"furry ribbon",TRUE,"furry","ribbon furry",1,"ribbon furry",TRUE,TRUE
"183",2,"adj",NA,"car",NA,"striped car",TRUE,"striped","car striped",1,"car striped",TRUE,TRUE
"184",2,"num",NA,"lamps",NA,"six lamps",TRUE,"six","lamps six",1,"lamps six",TRUE,TRUE
"185",2,"num",NA,"pillows",NA,"four pillows",TRUE,"four","pillows four",1,"pillows four",TRUE,TRUE
"186",2,"adj",NA,"cow",NA,"furry cow",TRUE,"furry","cow furry",1,"cow furry",TRUE,TRUE
"187",2,"num",NA,"pitchers",NA,"eight pitchers",TRUE,"eight","pitchers eight",1,"pitchers eight",TRUE,TRUE
"188",2,"num",NA,"shirts",NA,"seven shirts",TRUE,"seven","shirts seven",1,"shirts seven",TRUE,TRUE
"189",2,"num",NA,"bowls",NA,"eight bowls",TRUE,"eight","bowls eight",1,"bowls eight",TRUE,TRUE
"190",2,"num",NA,"handbags",NA,"ten handbags",TRUE,"ten","handbags ten",1,"handbags ten",TRUE,TRUE
"191",2,"adj_num","five","leaves","stone","five stone leaves",FALSE,NA,"leaves stone five",1,"leaves stone five",TRUE,TRUE
"192",2,"adj_num","two","ribbons","green","two green ribbons",FALSE,NA,"ribbons green two",1,"ribbons green two",TRUE,TRUE
"193",2,"adj_num","eight","scarfs","orange","eight orange scarfs",FALSE,NA,"scarfs orange eight",1,"scarfs orange eight",TRUE,TRUE
"194",2,"num",NA,"keys","three","three keys",FALSE,NA,"keys three",1,"keys three",TRUE,TRUE
"195",2,"adj",NA,"car","wooden","wooden car",FALSE,NA,"car wooden",1,"car wooden",TRUE,TRUE
"196",2,"adj",NA,"pillow","orange","orange pillow",FALSE,NA,"pillow orange",1,"pillow orange",TRUE,TRUE
"197",2,"adj_num","two","hats","dirty","two dirty hats",FALSE,NA,"hats dirty two",1,"hats dirty two",TRUE,TRUE
"198",2,"adj_num","two","shoes","furry","two furry shoes",FALSE,NA,"shoes furry two",1,"shoes furry two",TRUE,TRUE
"199",2,"num",NA,"couches","seven","seven couches",FALSE,NA,"couches seven",1,"couches seven",TRUE,TRUE
"200",2,"adj_num","seven","vases","spotted","seven spotted vases",FALSE,NA,"vases spotted seven",1,"vases spotted seven",TRUE,TRUE
"201",2,"adj_num","two","shovels","spotted","two spotted shovels",FALSE,NA,"shovels spotted two",1,"shovels spotted two",TRUE,TRUE
"202",2,"adj_num","two","pitchers","dirty","two dirty pitchers",FALSE,NA,"pitchers dirty two",1,"pitchers dirty two",TRUE,TRUE
"203",2,"adj",NA,"duck","striped","striped duck",FALSE,NA,"duck striped",1,"duck striped",TRUE,TRUE
"204",2,"num",NA,"cherries","seven","seven cherries",FALSE,NA,"cherries seven",1,"cherries seven",TRUE,TRUE
"205",2,"adj_num","seven","cars","stone","seven stone cars",FALSE,NA,"cars stone seven",1,"cars stone seven",TRUE,TRUE
"206",2,"adj_num","one","shirt","dirty","one dirty shirt",FALSE,NA,"shirt dirty one",1,"shirt dirty one",TRUE,TRUE
"207",2,"num",NA,"scarfs","six","six scarfs",FALSE,NA,"scarfs six",1,"scarfs six",TRUE,TRUE
"208",2,"adj_num","nine","boxes","spotted","nine spotted boxes",FALSE,NA,"boxes spotted nine",1,"boxes spotted nine",TRUE,TRUE
"209",2,"adj_num","six","keys","striped","six striped keys",FALSE,NA,"keys striped six",1,"keys striped six",TRUE,TRUE
"210",2,"adj",NA,"horse","stone","stone horse",FALSE,NA,"stone horse",1,"horse stone",FALSE,FALSE
"211",2,"adj_num","nine","trays","striped","nine striped trays",FALSE,NA,"trays striped nine",1,"trays striped nine",TRUE,TRUE
"212",2,"adj_num","eight","suitcases","wooden","eight wooden suitcases",FALSE,NA,"suitcases wooden eight",1,"suitcases wooden eight",TRUE,TRUE
"213",2,"adj",NA,"shovel","spotted","spotted shovel",FALSE,NA,"shovel spotted",1,"shovel spotted",TRUE,TRUE
"214",2,"adj",NA,"dart","purple","purple dart",FALSE,NA,"dart purple",1,"dart purple",TRUE,TRUE
"215",2,"adj_num","three","bowls","purple","three purple bowls",FALSE,NA,"bowls purple three",1,"bowls purple three",TRUE,TRUE
"216",2,"adj_num","one","horse","dirty","one dirty horse",FALSE,NA,"horse dirty one",1,"horse dirty one",TRUE,TRUE
"217",2,"adj_num","six","bananas","spotted","six spotted bananas",FALSE,NA,"bananas spotted six",1,"bananas spotted six",TRUE,TRUE
"218",2,"adj_num","five","pineapples","spotted","five spotted pineapples",FALSE,NA,"pineapples spotted five",1,"pineapples spotted five",TRUE,TRUE
"219",2,"adj_num","nine","cherries","spotted","nine spotted cherries",FALSE,NA,"cherries spotted nine",1,"cherries spotted nine",TRUE,TRUE
"220",2,"adj_num","one","cow","furry","one furry cow",FALSE,NA,"cow furry one",1,"cow furry one",TRUE,TRUE
"221",2,"num",NA,"vases","three","three vases",FALSE,NA,"three vases",1,"vases three",FALSE,FALSE
"222",2,"num",NA,"darts","nine","nine darts",FALSE,NA,"darts nine",1,"darts nine",TRUE,TRUE
"223",2,"adj",NA,"vase","green","green vase",FALSE,NA,"vase green",1,"vase green",TRUE,TRUE
"224",2,"num",NA,"cows","five","five cows",FALSE,NA,"cows five",1,"cows five",TRUE,TRUE
"225",2,"adj_num","nine","ducks","spotted","nine spotted ducks",FALSE,NA,"ducks spotted nine",1,"ducks spotted nine",TRUE,TRUE
"226",2,"num",NA,"pillows","ten","ten pillows",FALSE,NA,"pillows ten",1,"pillows ten",TRUE,TRUE
